Date,Open,High,Low,Close,Volume,FEDFUNDS,CPI,DPI
2013-12-01,4065.659912,4177.72998,3979.590088,4176.589844,37139280000,0.09,99.03044929,12452.7
2014-01-01,4160.029785,4246.549805,4044.76001,4103.879883,45227610000,0.07,99.27051646,12513.3
2014-02-01,4105.060059,4342.589844,3968.189941,4308.120117,39978180000,0.07,99.37979132,12579.5
2014-03-01,4261.419922,4371.709961,4131.810059,4198.990234,46796180000,0.08,99.58273035,12648.6
2014-04-01,4219.870117,4286.089844,3946.030029,4114.560059,44391220000,0.09,99.76837105,12699
2014-05-01,4121.25,4252.080078,4021.050049,4242.620117,39290130000,0.09,99.95823084,12745
2014-06-01,4247.959961,4417.459961,4207.609863,4408.180176,40249370000,0.1,100.0902889,12797.2
2014-07-01,4424.709961,4485.930176,4351.040039,4369.77002,39536410000,0.09,100.202939,12835.1
2014-08-01,4363.390137,4580.27002,4321.890137,4580.27002,33417300000,0.09,100.1869064,12896.3
2014-09-01,4592.419922,4610.569824,4464.439941,4493.390137,39631130000,0.09,100.1940789,12938.8
2014-10-01,4486.649902,4641.509766,4116.600098,4630.740234,50136190000,0.09,100.1742491,12995.3
2014-11-01,4633.709961,4810.859863,4594.919922,4791.629883,32967990000,0.09,99.98565504,13062.8
2014-12-01,4777.72998,4814.950195,4547.310059,4736.049805,39587090000,0.12,99.67723834,13150.5
2015-01-01,4760.240234,4777.009766,4563.109863,4635.240234,38719030000,0.11,99.04226279,13224.7
2015-02-01,4650.600098,4989.25,4580.459961,4963.529785,35773090000,0.11,99.29329964,13271.8
2015-03-01,4973.430176,5042.140137,4825.930176,4900.879883,41204240000,0.11,99.560791,13233.7
2015-04-01,4894.359863,5119.830078,4844.390137,4941.419922,37409760000,0.12,99.66458102,13262.8
2015-05-01,4966.319824,5111.540039,4888.169922,5070.029785,35994540000,0.12,99.99324943,13284.7
2015-06-01,5094.939941,5164.359863,4956.22998,4986.870117,41338820000,0.13,100.2700228,13292.7
2015-07-01,5029.049805,5231.939941,4901.509766,5128.279785,40633420000,0.13,100.4290831,13324.1
2015-08-01,5134.339844,5175.259766,4292.140137,4776.509766,43408300000,0.14,100.4286612,13354.9
2015-09-01,4673.609863,4960.870117,4487.060059,4620.160156,41503920000,0.14,100.202939,13392
2015-10-01,4624.459961,5095.689941,4552.339844,5053.75,42348240000,0.12,100.302088,13419.8
2015-11-01,5065.640137,5163.470215,4908.660156,5108.669922,36834860000,0.12,100.4219107,13417.7
2015-12-01,5129.640137,5176.77002,4871.589844,5007.410156,40617940000,0.24,100.3139015,13482
2016-01-01,4897.649902,4926.72998,4313.390137,4613.950195,44877130000,0.34,100.2679133,13531.6
2016-02-01,4587.589844,4636.930176,4209.759766,4557.950195,43108650000,0.38,100.1345895,13546.1
2016-03-01,4596.009766,4899.140137,4581.75,4869.850098,40738880000,0.36,100.448491,13547.2
2016-04-01,4842.549805,4969.319824,4740.839844,4775.359863,38014300000,0.37,100.8332736,13522
2016-05-01,4786.549805,4951.450195,4678.379883,4948.049805,38803240000,0.37,101.0716531,13515.1
2016-06-01,4928.970215,4980.140137,4574.25,4842.669922,44213900000,0.38,101.3522237,13521.5
2016-07-01,4837.180176,5175.810059,4786.009766,5162.129883,36050040000,0.39,101.3011725,13567.1
2016-08-01,5167.419922,5275.740234,5109.799805,5213.220215,38754780000,0.4,101.4885008,13578.9
2016-09-01,5218.279785,5342.879883,5097.799805,5312,40054600000,0.4,101.7547265,13608.3
2016-10-01,5300.290039,5340.52002,5169.759766,5189.140137,34644850000,0.4,101.993106,13627.7
2016-11-01,5199.77002,5403.859863,5034.410156,5323.680176,41870720000,0.41,102.1133505,13657.8
2016-12-01,5323.879883,5512.370117,5238.209961,5383.120117,38559260000,0.54,102.3711379,13685.3
2017-01-01,5425.620117,5669.609863,5397.990234,5614.790039,36027970000,0.65,102.7850323,13742.1
2017-02-01,5654.509766,5867.890137,5616.399902,5825.439941,36709560000,0.66,102.9487336,13792.3
2017-03-01,5874.859863,5928.060059,5769.390137,5911.740234,43937720000,0.79,102.9006358,13851.3
2017-04-01,5917.319824,6074.040039,5805.149902,6047.609863,33793200000,0.9,103.0276309,13869.6
2017-05-01,6067.560059,6221.990234,5996.810059,6198.52002,42285390000,0.91,102.9478898,13962.6
2017-06-01,6215.910156,6341.700195,6087.810059,6140.419922,48689910000,1.04,103.0149736,13963.5
2017-07-01,6173.290039,6460.839844,6081.959961,6348.120117,36063120000,1.15,103.0487265,13999.9
2017-08-01,6372.160156,6435.27002,6177.189941,6428.660156,41236800000,1.16,103.4453225,14015.8
2017-09-01,6442.169922,6497.97998,6334.589844,6495.959961,38177120000,1.15,103.9735546,14030.9
2017-10-01,6506.080078,6737.75,6484.140137,6727.669922,41421370000,1.15,104.0541396,14062.7
2017-11-01,6758.640137,6914.189941,6667.310059,6873.970215,41870380000,1.16,104.3317568,14078.4
